model,family,framing,arm,signed_alpha,n_pairs,metric,behaviour,base_mean,arm_mean,delta,ci_lo,ci_hi,p_paired_t,p_wilcoxon
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,density,initializing,0.6340054761790124,0.625545082965288,-0.008460393213724382,-0.06739059508246925,0.0534220741283342,0.783471694579296,0.21442807217294202
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,density,deduction,4.025789034599123,3.9997651457091976,-0.026023888889924768,-0.1999707887852421,0.16129737539456973,0.7776260893969841,0.8466916336566577
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,density,adding-knowledge,1.6352054386555739,1.5325672614806711,-0.10263817717490271,-0.22741630341204636,0.017653941784808395,0.10981016234603316,0.11296262399587596
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,density,example-testing,0.11297473867381741,0.12568432694292817,0.012709588269110797,-0.03839001509544436,0.06424702806874968,0.6301812440827144,0.5866747207433314
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,density,uncertainty-estimation,0.7598572117674904,0.8453588334202143,0.08550162165272389,-0.02278405633350607,0.19462774704579758,0.12227744492497977,0.07200281990612784
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,density,backtracking,0.11778809236054821,0.11828548547642555,0.0004973931158773219,-0.043912661475189595,0.04368491803822343,0.9825297649265017,0.8292578166716783
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,coverage,initializing,0.12970071782142387,0.1265123623894141,-0.00318835543200976,-0.01058994988198921,0.0036531085700139674,0.38273029989966245,0.3035895165719703
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,coverage,deduction,0.5236666251273056,0.5245169196852071,0.0008502945579016505,-0.018810508570898776,0.023468616409548955,0.9378810877542657,0.8752683210408857
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,coverage,adding-knowledge,0.2308229493612125,0.21577591217663686,-0.015047037184575658,-0.03405141161287882,0.0023619707533163504,0.11314877338061358,0.13540281407992674
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,coverage,example-testing,0.018167758319851745,0.021269101489064083,0.003101343169212341,-0.006664658537364706,0.012855367449942213,0.5320973803466382,0.8366219784981852
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,coverage,uncertainty-estimation,0.0823379967687177,0.09676948840658314,0.014431491637865456,0.0003470097704375159,0.028422879829624156,0.04912807731220942,0.015151559348843543
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,coverage,backtracking,0.0153039526014887,0.015156215853094674,-0.00014773674839402658,-0.005858219962972721,0.005473148454687465,0.9599920672518829,0.768465655836488
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,any,initializing,1.0,1.0,0.0,0.0,0.0,,
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,any,deduction,1.0,1.0,0.0,0.0,0.0,,
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,any,adding-knowledge,0.9932432432432432,1.0,0.006756756756756757,0.0,0.02027027027027027,0.3189537646241514,
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,any,example-testing,0.21621621621621623,0.23648648648648649,0.02027027027027027,-0.05405405405405406,0.10135135135135136,0.6137434104569448,0.6120898800892568
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,any,uncertainty-estimation,0.8851351351351351,0.8986486486486487,0.013513513513513514,-0.05405405405405406,0.07432432432432433,0.6962835148687053,0.6948866023724733
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,any,backtracking,0.2635135135135135,0.28378378378378377,0.02027027027027027,-0.06756756756756757,0.10827702702702612,0.6562522952733525,0.6547208460185769
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,density_testlex,initializing,0.0,0.0,0.0,0.0,0.0,,
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,density_testlex,deduction,0.0496299863931583,0.16094234948006683,0.11131236308690853,0.06105546750719442,0.16082304966638622,2.0131587706874453e-05,4.742146836305175e-05
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,density_testlex,adding-knowledge,0.004651736632009001,0.018075366547475026,0.013423629915466027,-0.0020586307268162093,0.03253601557713514,0.13570970559127635,0.109375
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,density_testlex,example-testing,0.0033783783783783786,0.004724372701900792,0.0013459943235224136,-0.00794138294138294,0.010794739727323997,0.7782919969006397,
