arm,framing,projection,n_pairs,base_mean,delta,ci_lo,ci_hi
unc_all_neg,real,proj_probe,60,-3.4419386804103853,-0.4239037533601125,-0.7013405880331993,-0.13406118075052922
unc_all_neg,real,proj_lastprompt_backtracking,60,8.786149096488952,-3.023500752449036,-3.143705007135868,-2.9000906501213715
unc_all_neg,real,proj_lastprompt_uncertainty-estimation,60,11.553783623377482,0.0,0.0,0.0
unc_all_neg,real,proj_lastprompt_probe,60,-2.4264470914999645,-0.7047663390636444,-0.7544118847449621,-0.6546215910216173
unc_all_neg,real,proj_incontext_backtracking,60,20.834461228052774,-7.225892535845438,-7.6292738515138625,-6.8259626344839734
unc_all_neg,real,proj_incontext_uncertainty-estimation,60,10.338428846995036,-0.1163755178451538,-0.8839596239725749,0.6508697235584254
unc_all_neg,real,proj_incontext_probe,60,-3.4669198110699653,-0.935680590569973,-1.2101900355145334,-0.6648001375918587
unc_all_neg,hypothetical,proj_probe,60,-3.8292088707288108,-0.12811951438585917,-0.404960251947244,0.1297830991943676
unc_all_neg,hypothetical,proj_lastprompt_backtracking,60,8.975202639897665,-3.0300023992856344,-3.1301987800995508,-2.9268559922774635
unc_all_neg,hypothetical,proj_lastprompt_uncertainty-estimation,60,11.429842456181843,0.0,0.0,0.0
unc_all_neg,hypothetical,proj_lastprompt_probe,60,-2.58591870367527,-0.704600277543068,-0.7476992815732956,-0.6633585118999084
unc_all_neg,hypothetical,proj_incontext_backtracking,60,20.33639783859253,-7.087134933471679,-7.463228266636531,-6.716733820041021
unc_all_neg,hypothetical,proj_incontext_uncertainty-estimation,60,10.649153288205465,-0.8878998835881551,-1.608718465367953,-0.19814967592557348
unc_all_neg,hypothetical,proj_incontext_probe,60,-3.7888984103997547,-0.6941818813482921,-0.9700306226313115,-0.44150158777833015
unc_all_pos,real,proj_probe,60,-3.4419386804103853,0.5733966579039892,0.19226552379628023,0.9810434527695179
unc_all_pos,real,proj_lastprompt_backtracking,60,8.786149096488952,6.264522496859232,6.049271191954613,6.46978366613388
unc_all_pos,real,proj_lastprompt_uncertainty-estimation,60,11.553783623377482,0.0,0.0,0.0
unc_all_pos,real,proj_lastprompt_probe,60,-2.4264470914999645,0.30438783168792727,0.26000960250695543,0.350400770753622
unc_all_pos,real,proj_incontext_backtracking,60,20.834461228052774,8.453422594070435,7.945427273909251,8.980420187711715
unc_all_pos,real,proj_incontext_uncertainty-estimation,60,10.338428846995036,0.7619984944661459,0.00625408709049225,1.4812146389484404
unc_all_pos,real,proj_incontext_probe,60,-3.4669198110699653,0.8012510256841778,0.43593906881908573,1.1979042734112588
unc_all_pos,hypothetical,proj_probe,60,-3.8292088707288108,0.5422104259332021,0.33778564259409904,0.7829901322722432
unc_all_pos,hypothetical,proj_lastprompt_backtracking,60,8.975202639897665,6.143341080347697,5.916465810338656,6.3483426072200135
