model,family,framing,arm,signed_alpha,flip_class,n,behaviour,metric,delta_density,ci_lo,ci_hi
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,initializing,density,-0.09916467688349113,-0.2651670903325571,0.06683773656557476
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,initializing,density_nontest,-0.07120047106693632,-0.2613885421295701,0.12378326137819651
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,initializing,density_testlex,-0.027964205816554812,-0.08389261744966443,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,deduction,density,1.0326040110393213,0.286157566089224,1.8682295781176372
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,deduction,density_nontest,1.009805921791743,0.07622411439965604,2.0329745675692634
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,deduction,density_testlex,0.022798089247578163,-0.20544185681800356,0.22286772496848528
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,adding-knowledge,density,-1.206475067689866,-2.0503984067918695,-0.3043158964239047
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,adding-knowledge,density_nontest,-1.2129618346851954,-2.0503984067918695,-0.31080266341923424
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,adding-knowledge,density_testlex,0.006486766995329528,0.0,0.019460300985988582
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,example-testing,density,0.11534025374855823,0.0,0.3460207612456747
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,example-testing,density_nontest,0.11534025374855823,0.0,0.3460207612456747
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,example-testing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,uncertainty-estimation,density,0.177884516116402,-0.1301484475180515,0.4329691113176722
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,uncertainty-estimation,density_nontest,0.09289372712873108,-0.1755950979700262,0.36677188328662697
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,uncertainty-estimation,density_testlex,0.08499078898767086,-0.2615354851943015,0.38358570627387484
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,backtracking,density,-0.2981984042081053,-0.6266652643074943,-0.05186910329547888
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,backtracking,density_nontest,-0.27023419839155044,-0.5427726468578299,-0.05186910329547888
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,backtracking,density_testlex,-0.027964205816554812,-0.08389261744966443,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,initializing,density,0.32950836214043383,0.1574087969906766,0.4726063676932125
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,initializing,density_nontest,0.32950836214043383,0.1574087969906766,0.4726063676932125
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,initializing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,deduction,density,-0.5155979382626581,-1.770760904859022,0.8500303118537245
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,deduction,density_nontest,-0.7289983213974172,-2.13711885792451,0.7373202876687346
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,deduction,density_testlex,0.21340038313475893,-0.09961807359603306,0.5385677934665638
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,adding-knowledge,density,0.5336626460817346,-0.061370491016145313,1.1228194571135566
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,adding-knowledge,density_nontest,0.4649341237449649,-0.20396722878512352,1.1228194571135566
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,adding-knowledge,density_testlex,0.06872852233676977,0.0,0.20618556701030927
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,example-testing,density,-0.07662835249042146,-0.22988505747126436,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,example-testing,density_nontest,-0.07662835249042146,-0.22988505747126436,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,example-testing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,uncertainty-estimation,density,-0.1996745698276635,-0.8844285866816313,0.3798703325745363
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,uncertainty-estimation,density_nontest,-0.23073047044878153,-0.9154844873027492,0.32349116704202974
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,uncertainty-estimation,density_testlex,0.03105590062111801,0.0,0.09316770186335403
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,backtracking,density,-0.14639029578489549,-0.3597835115076494,0.1305743099767178
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,backtracking,density_nontest,-0.14639029578489549,-0.3597835115076494,0.1305743099767178
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,backtracking,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,initializing,density,0.020317794824131687,-0.10150815138540803,0.15066700711597836
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,initializing,density_nontest,0.017800749683544646,-0.10401453263109488,0.14704953523162587
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,initializing,density_testlex,0.002517045140587041,0.0,0.006763526995130919
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,deduction,density,0.267966229024616,0.01660480803402901,0.5431452991120409
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,deduction,density_nontest,0.28846022283528405,0.03824294085920458,0.5746942531322273
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,deduction,density_testlex,-0.02049399381066802,-0.07198710710202447,0.032420869590891806
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,adding-knowledge,density,-0.044584279730712294,-0.23856894989591418,0.1387000178678921
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,adding-knowledge,density_nontest,-0.038023409382033996,-0.2346597094165185,0.14692350761751316
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,adding-knowledge,density_testlex,-0.006560870348678303,-0.022859451903819775,0.009667963602210143
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,example-testing,density,-0.029703937205951825,-0.15165383114900904,0.0879011793049024
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,example-testing,density_nontest,-0.02522214448886499,-0.14856186772179336,0.09267544905248107
